RG-Agr  6
BGU     5
UR-Phx  4
BG-Urk  4
R       4
G-Lamp  4
G-Nyx   3
G-Stpy  3
UW-Mid  2
UW-Con  2
GU-Nex  2
WR-Ftr  2
etc     24
